Barcode,ProductName,Manufacturer,Brand,TC,atx,LC
46798771043,Tetra 77104 2.2 Ounce Trop Fish Food,Tetra,Tetra,Pet Care,z-Tox Solids,Solid
46798771364,"Tetra 77136 Water Clarifier, 8.45-Ounce, 250-ml",Tetra,Tetra,Herbicide,z-Flam Tox,Liquid
23400016020,"The Dial 01602 Antibacterial With Bleach, 24oz Bottle, 9/carton","Dial Manufacturing, Inc.",Dial,Cleaners,j-Oxidizers,Base
70798002739,The Original Contact Cement,DAP Inc.,DAP,Home Building,k-Sticky OBP,Liquid
70183570003,The Scotts Company SC5700010 Scotts Roundup 1.33gal Extend Control WandG Kilr RTU PNS,The Scotts Miracle-Gro Company,Roundup,Herbicide,z-Flam Tox,Liquid
943040125,"Therm O Web, Inc. Spray-n-Bond Fusible Adhesive, 5.85 oz",Thermoweb,Spray N Bond,Adhesive,z-Areosols Non-Punc,Aerosol
32053118012,Thompson S Waterseal Thompson Clear Woodprotect 1g Non Voc,The Sherwin-Williams Company,WaterSeal,Home Building,z-Bulk Flam,Liquid
32053101014,Thompson Wtrseal 1gal,The Sherwin-Williams Company,WaterSeal,Home Building,z-Bulk Flam,Liquid
32053101045,Thompson'S Water Seal,The Sherwin-Williams Company,WaterSeal,Home Building,z-Bulk Flam,Liquid
32053241017,Thompson's WaterSeal Clear Multi-Surface Waterproofer 1-Gal,The Sherwin-Williams Company,WaterSeal,Home Building,z-Bulk Flam,Liquid
32053218019,Thompson'S Waterseal Waterproofer Plus Wood Protector Clear 1 Gl 25 Oz,The Sherwin-Williams Company,WaterSeal,Home Building,z-Bulk Flam,Liquid
32053101007,Thompsons 10100 Waterseal Water Seal Water Repellant Spray,The Sherwin-Williams Company,WaterSeal,Home Building,z-Aerosols Punc,Liquid
32053218026,Thompsons 21801 Waterseal Waterproofer Plus Clear Wood Protector VOC 1.2 Gallon Oil Based (Case of 4),The Sherwin-Williams Company,WaterSeal,Home Building,z-Bulk Flam,Liquid
32053117114,Thompsons Waterseal 11711 1-Gallon Thompson's Waterseal Advanced Natural Wood Protector Exterior Wood Protectors/Preservative,The Sherwin-Williams Company,WaterSeal,Home Building,z-Bulk Flam,Liquid
37000874744,"Tide Plus Downy April Fresh Scent HE Turbo Clean Liquid Laundry Detergent, 72 Loads 138 oz",Procter & Gamble,Tide,Cleaners,z-Bulk Flam,Liquid
90174154227,"Tigi Bed Head Head Rush Shine Mist, 5.3 Ounce",Atlas,TIGI,Personal Care,z-Areosols Non-Punc,Liquid
86861014516,"TIKI 1212202 Ultra Pure Tabletop Torch Oil, 32-Ounce",Lamplight Farms,Tiki,Garage,z-Bulk Flam,Liquid
86861014073,Tiki Torch Oil,US Toy,Tiki,Garage,z-Bulk Flam,Liquid
86861085424,TIKI&reg; Brand 50 oz. Citronella Scented Torch Fuel with Easy Pour System - 1216154,Lamplight Farms,Tiki,Garage,z-Bulk Flam,Liquid
10186764337,TileLab 6 oz. Grout Sealer,Custom Building Products,TileLab,Home Building,z-Flam Tox,Liquid
10186763279,Tilelab Grout And Tile Sealer,Custom Building Products,TileLab,Home Building,z-Bulk Flam,Liquid
44600011950,Tilex 01195 32 Ounce Remover,The Clorox Company,Tilex,Cleaners,j-Oxidizers,Base
43725250879,"TimeMist Metered Fragrance Dispenser Refill, Citrus, 6.6oz, Aerosol",Zep Inc.,TimeMist,Cleaners,z-Aerosols Punc,Aerosol
35585010502,Top Quality Stuff'n Treat Puppy Kong,TDPS,Kong,Pet Care,z-Areosols Non-Punc,Solid
71549052102,TotalKill 24 oz. Ready-to-Use Weed and Grass Killer,The Scotts Miracle-Gro Company,Roundup,Herbicide,z-Flam Tox,Liquid
71549054205,TotalKillÃ‚Â® 15 oz. Wasp & Hornet Killer Aerosol,The Scotts Miracle-Gro Company,Roundup,Pesticide,z-Areosols Non-Punc,Aerosol
75650100127,Touch n Foam 4004501212 Firebreak Flame Resistant Sealant 12 Ounce,DAP Inc.,Touch 'n Foam,Home Building,z-Areosols Non-Punc,Aerosol
501309,Trader Joe's Coconut Body Butter 8 Oz. (00501309),Trader Joe's Company,Trader Joe's,Personal Care,z-Tox Solids,Liquid
22400623740,"TRESemme Extra Hold Gel, 9.0 OZ",Alberto-Culver Company,TRESemme,Personal Care,z-Flam Tox,Liquid
22400639130,"TRESemme Moisture Rich Conditioner, 3 oz",Alberto-Culver Company,TRESemme,Personal Care,z-Flam Tox,Liquid
22400641508,"TRESemme Remoisturize Conditioner, 32 oz",Alberto-Culver Company,TRESemme,Personal Care,z-Bulk Flam,Liquid
70755350279,Trewax THF901 32 Ounce Liquid Sealer Wax,"Beaumont Products, Inc.",Trewax,Home Building,z-Bulk Flam,Liquid
75577005000,Triple Thick Clear Glaze Aerosol Spray 12oz-,The Sherwin-Williams Company,Triple Thick,Paint,z-Aerosols Punc,Aerosol
17754155559,Tulip Dimensional Fabric Paint 4oz Matte Dandelipn Yellow,iLoveToCreate,Tulip,Paint,z-Flam Tox,Liquid
17754262707,"Tulip Permanent Fabric Dye, Red",WD40 Company,Tulip,Paint,z-Tox Solids,Liquid
17754262660,"Tulip Permanent Fabric Dye, Yellow",WD40 Company,Tulip,Paint,z-Tox Solids,Liquid
