Barcode,ProductName,Manufacturer,Brand,TC,atx,LC
82474501016,1 gal. Cedar Naturaltone Transparent Waterproofing Wood Finish,Behr Process Corporation,BEHR PREMIUM,Paint,z-OBP,Liquid
75378140719,1 Gal. Engineered Wood Glue Adhesive,Roberts,Roberts,Adhesive,k-Sticky OBP,Wood
82474500019,1 gal. Natural Clear Transparent Waterproofing Wood Finish,Behr Process Corporation,BEHR PREMIUM,Paint,z-OBP,Liquid
71121564207,1 lb. Stump Remover,United Industries Corporation,Spectracide,Herbicide,z-Tox Solids,Solid
30192285152,1 qt. Easy Liquid Sander,"W.M. Barr & Company, Inc.",Klean-Strip,Cleaners,z-Bulk Flam,Liquid
38753308913,1/2pint Wet Pvc Cement 30891,Oatey,Oatey,Home Building,z-Flam Tox,Liquid
39645113431,10 lb. Vinyl Concrete Patcher,Quikrete,Quikrete,Home Building,z-Tox Solids,Liquid
39645860021,10 oz. Mortar Repair Tube,Quikrete,Quikrete,Home Building,z-Tox Solids,Liquid
81725208919,10.3 oz. Rubber Wet Patch Roof Cement,Henry Company,Henry,Home Building,z-Tox Solids,Liquid
95804916107,100% Fox Shake â€˜N Go 16 oz.,Leg Up Enterprises,Shake N' Go,Pesticide,z-Tox Solids,Solid
70612102003,10160 16oz ARMORALL PROTECTANT,United Industries Corporation,Armor All,Cleaners,z-Flam Tox,Liquid
72845010193,102-2 Take Root Pwdr 2Oz/12 360,Schultz Spectrum (A),,Herbicide,z-Tox Solids,Solid
79567100119,11 OZ WD 40,WD40 Company,WD-40,Garage,z-Aerosols Punc,Aerosol
20066210090,11 oz. All Surface Metallic Satin Nickel Spray Paint and Primer in One,Rust-Oleum Corporation,Universal,Paint,z-Aerosols Punc,Aerosol
20066191382,11 oz. Chalkboard Flat Black Spray Paint,Rust-Oleum Corporation,Specialty,Paint,z-Aerosols Punc,Aerosol
20066239039,11 oz. Dark Gray Spray Paint,Rust-Oleum Corporation,FlexiDip,Paint,z-Aerosols Punc,Aerosol
75815112019,11 oz. Red Rubber Coating Spray (6-Pack),Plasti Dip,Plasti Dip,Paint,z-Aerosols Punc,Aerosol
28995014505,11-oz. Super High Shine Spray,Mod Podge,Mod Podge,Adhesive,z-Aerosols Punc,Aerosol
28882100748,"11Oz Starting Fluid, Pack of 12",Niteo Products,Pyroil,Automotive,z-Aerosols Punc,Aerosol
70922050032,12 fl. oz. Toilet Bowl Cleaner In-Tank Liquid (6-Pack),Ty-D-Bol,TY-D-BOL,Cleaners,z-Flam Tox,Liquid
20066779382,12 Oz Shell White Satin Enamel Finish Spray Paint [Set of 6],Rust-Oleum Corporation,Stops Rust,Paint,z-Aerosols Punc,Aerosol
20066213152,"12 Oz Spray Paint, Textured Mystic Brown Metallic RUST-OLEUM Spray Paint 262660",The Sherwin-Williams Company,Stops Rust,Paint,z-Aerosols Punc,Aerosol
20066316631,12 oz. Gloss Tuscan Sun Protective Enamel Spray Paint (Case of 6),Rust-Oleum Corporation,Stops Rust,Paint,z-Aerosols Punc,Aerosol
20066202453,12 oz. Lagoon Satin General Purpose Spray Paint (6-Pack),Rust-Oleum Corporation,2x Ultra Cover,Paint,z-Aerosols Punc,Aerosol
20066779788,12 oz. Semi-Gloss White Protective Enamel Spray Paint (6-Pack),Rust-Oleum Corporation,Stops Rust,Paint,z-Aerosols Punc,Aerosol
20066195052,12 oz. White Gloss Acrylic Lacquer Spray Paint (Case of 6),Rust-Oleum Corporation,Automotive,Paint,z-Aerosols Punc,Aerosol
26000213950,128-oz. Elmer'sÂ® Glue-All,GL419,Elmer's,Adhesive,z-Flam Tox,Craft
23494000080,12OZ Goof Off Remover,"W.M. Barr & Company, Inc.",Goof Off,Cleaners,z-Aerosols Punc,Aerosol
27426307513,12OZ Rosewood Woodsheen,The Sherwin-Williams Company,Minwax,Paint,z-Flam Tox,Liquid
